,0
0,2.88833
1,2.6934247
2,2.5399685
3,1.1164362
4,3.9010992
5,2.2630856
6,2.8783822
7,3.8080158
8,3.2252023
9,2.4513922
10,2.6036563
11,3.8430645
12,2.929834
13,2.2431111
14,2.6558576
15,3.1470897
16,2.6385412
17,-1.4956728
18,2.765356
19,3.7582436
20,2.3274615
21,3.15024
22,-2.3115933
23,1.7721004
24,2.3810418
25,1.884963
26,2.8609436
27,2.4492102
28,3.0863574
29,2.6632166
30,4.6661015
31,2.8633127
32,3.0668445
33,2.260779
34,2.8591928
35,2.4422152
36,1.30338
37,2.8262782
38,0.060697243
39,1.8262458
40,3.2886047
41,2.7313237
42,3.0737708
43,2.937429
44,3.2423067
45,3.395654
46,3.1509352
47,2.517352
48,2.9678729
49,1.0146124
50,3.081777
51,3.0256734
52,2.646329
53,4.5241704
54,2.9356785
55,0.50854385
56,2.1396995
57,3.0660076
58,2.2904599
59,3.4603195
60,-1.9236237
61,3.635004
62,1.960078
63,2.4519463
64,3.2978106
65,3.3212347
66,2.7344766
67,2.6543994
68,2.9389334
69,3.6782765
70,-1.2612252
71,-2.9752197
72,3.858798
73,-2.0550945
74,2.9472475
75,1.2991402
76,3.7445092
77,0.7332596
78,4.066581
79,3.5073295
80,2.9356742
81,2.6092103
82,2.159465
83,3.5273125
84,3.2482471
85,3.4065728
86,2.765297
87,-5.2221985
88,3.6741946
89,-1.4672265
90,3.1000082
91,3.6386063
92,3.701161
93,3.9348834
94,-1.7870915
95,2.3726969
96,-2.4304686
97,-1.3879526
98,-1.6414864
99,-0.6388647
100,-2.078507
101,-1.4122636
102,-2.5086865
103,-2.9320002
104,-0.442914
105,-2.2164016
106,-1.1977711
107,-2.5417435
108,-0.3510689
109,1.0170519
110,-2.6713188
111,-2.368541
112,-1.3855126
113,-1.9404826
114,-2.512486
115,-1.9288559
116,-0.952247
117,-0.4632876
118,-2.013917
119,1.0602864
120,-0.7882907
121,-0.56376654
122,1.4597608
123,-1.0979719
124,-0.38880414
125,-0.40257734
126,-1.6674576
127,-1.626786
128,3.7021933
129,-2.4958272
130,3.0503583
131,-0.6458919
132,-0.7564448
133,-0.27950135
134,-0.17056997
135,-0.054161638
136,-0.93839186
137,-3.221068
138,-0.03906374
139,-1.5948178
140,-0.8163597
141,-1.9210631
142,3.8545885
143,-0.84734464
144,0.13467076
145,0.60962415
146,-0.26372764
147,-0.8923794
148,0.13703877
149,-0.241102
150,0.030969143
151,-1.8379865
152,0.21342464
153,-0.8790227
154,-2.4660974
155,-2.0209646
156,-2.3286543
157,-0.6973498
158,-1.2577314
159,-1.6324263
160,-0.12070194
161,-2.5313673
162,-0.56834936
163,-1.6290078
164,-1.7326802
165,-1.6956581
166,-2.0928123
167,2.4634256
168,-2.6170132
169,-2.2986245
170,-1.0802777
171,-1.3549013
172,-1.4259888
173,-0.72648484
174,-1.1780114
175,-1.7577047
176,-1.5430518
177,0.047307163
178,-1.1009581
179,-1.7869782
180,-1.4956049
181,-1.8017874
182,-2.6674767
183,-0.60654306
184,-1.7758124
185,-1.766779
186,-1.8278265
187,-1.0428355
188,-1.9752265
189,-0.19028208
190,-0.3121552
191,1.7100587
192,-4.2210197
193,-0.4977833
194,0.9117572
195,-1.06639
196,-4.1900034
197,0.5024366
198,0.99781376
199,2.1015499
200,-0.69581926
201,0.038324565
202,0.6265055
203,-0.11712113
204,1.9510804
205,1.2969995
206,-0.5078384
207,0.8317448
208,1.4072334
209,-4.248613
210,1.464526
211,-0.19954854
212,1.1662476
213,0.13675614
214,0.8791839
215,0.15206361
216,0.74629873
217,0.41339183
218,-0.75561225
219,1.6285665
220,-0.17871115
221,0.8931271
222,-4.226349
223,0.044806644
224,-0.80178285
225,-0.90084404
226,1.2979636
227,-0.26823956
228,0.26859057
229,0.151255
230,1.2534158
231,0.64258707
232,0.30299544
233,0.85156906
234,0.6267736
235,-4.214965
236,0.81963444
237,1.0115737
238,0.47735608
239,-0.25078392
240,0.8992685
241,1.0896951
242,0.18471766
243,1.3833973
244,0.41128677
245,-0.59378415
246,0.812679
247,0.52147615
248,1.2889931
249,-4.2296505
250,1.70808
251,0.015804164
252,1.3956006
253,0.71267235
254,-0.022904247
255,0.71599025
256,0.6017549
257,0.99642825
258,0.4376918
259,0.7748358
260,-0.12494847
261,0.7272659
262,-4.1675644
263,1.4853814
264,-1.4274054
265,-0.47337446
266,1.0297182
267,-0.9553406
268,0.6880685
269,4.5497274
270,0.22162068
271,-2.462917
272,-1.5191774
273,1.4987186
274,-0.96962994
275,-4.2210197
276,0.38058332
277,1.917226
278,0.05746957
279,-1.5170591
280,-4.068816
281,-1.7271049
282,0.60581136
283,0.36663926
284,-0.2518116
285,-1.3599839
286,-2.0554376
287,-1.97923
