,0
0,-2.4826312
1,-2.452783
2,-2.1071658
3,-2.7106357
4,-1.5243034
5,0.06827511
6,-2.210318
7,-2.6273699
8,-2.6945019
9,-1.8667895
10,-1.3698161
11,-2.388792
12,-2.982552
13,-2.1475213
14,-2.6585436
15,-1.6175687
16,-1.5376117
17,-0.389729
18,-1.4753537
19,-1.2826717
20,-2.8117528
21,-2.8425741
22,-2.0359964
23,-1.8555639
24,-2.5748158
25,-0.049344912
26,-1.5038118
27,-2.435997
28,-0.52658993
29,-1.7511501
30,-0.86561126
31,-1.996589
32,-0.32543635
33,-3.1199918
34,-0.46645612
35,-2.8878233
36,1.7640451
37,-1.1454451
38,-1.899946
39,-1.0561023
40,-2.5995417
41,-2.2924004
42,-2.235835
43,-2.5483985
44,-1.9239404
45,-1.4671237
46,-1.9785867
47,-0.2899325
48,-2.599544
49,-0.4361595
50,-0.74020606
51,-2.4082549
52,1.1563857
53,-2.1725068
54,-2.231008
55,0.7185991
56,-2.0419762
57,-1.5315078
58,-0.11537183
59,-1.1664814
60,-1.9190257
61,-2.4950588
62,-1.8231723
63,-1.3102727
64,-0.90689915
65,-1.5178688
66,-1.0585537
67,-2.129357
68,-2.09869
69,-1.4017358
70,-0.60167575
71,-1.8686578
72,-1.6615763
73,1.4900445
74,-2.5149498
75,0.63970053
76,-1.3618107
77,-2.045908
78,-1.8433044
79,-1.2319549
80,-2.416182
81,-1.2830224
82,-2.2753954
83,-1.4817424
84,-0.4039828
85,-2.624608
86,-2.4573183
87,4.8614235
88,-1.3935714
89,-1.4450407
90,-2.0773053
91,-1.369695
92,-1.420191
93,-1.9443123
94,-2.4527202
95,-2.543715
96,0.29389286
97,-0.47714883
98,-0.47699618
99,0.67818606
100,0.13387045
101,0.32583612
102,0.37960762
103,0.29087463
104,0.61607623
105,-0.54878134
106,0.40990323
107,0.38836342
108,-0.93530095
109,-0.269622
110,-0.3219043
111,0.13355783
112,-0.027777094
113,-0.72164404
114,0.5178513
115,0.050592326
116,0.07013976
117,-0.041981235
118,-0.20367968
119,0.66635346
120,-1.5542903
121,-1.5582627
122,-0.045078002
123,-0.6026763
124,0.3105299
125,-0.47988313
126,0.2632649
127,0.08360588
128,-1.3175833
129,0.5326389
130,-0.534737
131,0.041552152
132,-0.7855094
133,0.57136434
134,-1.7672675
135,0.14780773
136,-0.122687146
137,0.044546977
138,0.09075204
139,-0.50096583
140,0.5101541
141,0.45412022
142,2.2043538
143,1.4655372
144,0.83163977
145,-2.2306724
146,0.3777504
147,0.015562762
148,0.29872715
149,-0.082228675
150,-0.07463187
151,-0.22451273
152,-0.9889827
153,-1.7072909
154,0.43823344
155,1.0553547
156,-0.80463684
157,0.27886337
158,-0.58911884
159,0.2061911
160,-0.32901067
161,0.4614179
162,0.6315896
163,-1.5704947
164,-0.52856016
165,-0.6344559
166,-0.6774008
167,0.8190755
168,-0.462359
169,-0.25189036
170,-0.6672585
171,-0.9683618
172,0.32283655
173,-0.33076122
174,-1.6605574
175,-0.92002106
176,-0.9183861
177,0.15742275
178,-0.25264362
179,0.43582293
180,0.14322683
181,-0.9357145
182,-0.60154
183,-0.8476765
184,-0.34416664
185,-0.36344296
186,-1.3003418
187,-1.6467901
188,-0.45701975
189,-1.1811291
190,0.39235225
191,-2.4360354
192,4.628726
193,1.9860296
194,2.9647443
195,1.0936508
196,4.696642
197,2.6641314
198,1.8279097
199,2.522336
200,2.3347683
201,1.2772181
202,2.703112
203,2.0974643
204,3.1638703
205,-3.8187687
206,2.0237348
207,2.1674497
208,2.447558
209,4.576495
210,-3.1933005
211,1.8001628
212,1.3945775
213,2.5515947
214,1.8097651
215,1.7540245
216,2.0861483
217,-2.4918609
218,1.8645437
219,2.7810302
220,1.7920175
221,2.73864
222,4.6590495
223,2.108017
224,1.8690159
225,1.5288475
226,2.137481
227,-3.4252589
228,2.4435263
229,1.933362
230,2.3300753
231,2.2769547
232,1.8584671
233,-4.2390785
234,1.518712
235,4.66772
236,1.9832075
237,-3.2281559
238,-3.1628845
239,1.7369585
240,1.8275046
241,2.3621593
242,1.9825547
243,-3.3989067
244,2.9131079
245,1.6162053
246,2.0980394
247,1.4886281
248,2.4315972
249,4.654048
250,-3.5562847
251,2.1467202
252,-3.5442328
253,2.102645
254,2.4372072
255,1.9803855
256,2.4961913
257,2.8165119
258,2.4642537
259,2.1596448
260,1.8839457
261,2.0470247
262,4.606328
263,1.5929763
264,1.9292712
265,1.2351425
266,1.6655335
267,1.5769842
268,2.2036564
269,-3.352117
270,2.5072925
271,2.7632422
272,1.7532296
273,3.0195723
274,1.2383151
275,4.628726
276,-2.3402314
277,2.897815
278,2.184218
279,2.755622
280,2.4459586
281,2.5573702
282,2.8736491
283,1.4437809
284,1.9257392
285,2.7109764
286,3.0681896
287,3.0457077
