,0
0,2.6452506
1,2.3699298
2,1.9357895
3,2.7807896
4,1.9588103
5,2.0154238
6,2.5071712
7,2.6583757
8,2.4636874
9,0.95924616
10,2.0451548
11,2.366532
12,2.5802052
13,2.6213672
14,2.2255042
15,1.3417388
16,1.868736
17,1.8477285
18,2.0150983
19,1.9708078
20,1.4843965
21,2.5946796
22,1.821145
23,1.2830298
24,2.1538181
25,1.9027168
26,2.0984766
27,2.542241
28,2.256887
29,1.2572441
30,2.1038234
31,1.8580166
32,2.221836
33,2.9393802
34,2.0666904
35,2.807786
36,0.9906057
37,2.3498974
38,1.9674798
39,2.4086976
40,2.7897193
41,1.5704545
42,2.0970464
43,2.59522
44,2.2225022
45,1.8679788
46,2.484299
47,2.175948
48,2.5392618
49,1.8122381
50,1.554341
51,2.5990868
52,2.560645
53,2.4343548
54,2.445228
55,-2.458887
56,2.3765373
57,2.4773219
58,2.082448
59,1.9172258
60,2.3673022
61,2.349525
62,0.1849128
63,2.312852
64,2.078279
65,2.176278
66,1.8863919
67,1.9130368
68,2.3417726
69,1.3533759
70,1.6821694
71,0.5322206
72,1.7363794
73,0.50796574
74,2.575078
75,0.86677426
76,1.5089854
77,1.812114
78,1.364167
79,1.3097333
80,2.3979216
81,2.0555449
82,2.0369785
83,2.2193737
84,1.5973924
85,2.6037827
86,1.9002721
87,-3.4056325
88,1.6617376
89,-0.04406917
90,1.4699994
91,1.88423
92,2.0152688
93,1.8377249
94,1.3419185
95,1.3709602
96,0.14608355
97,-0.400064
98,-0.5039561
99,-0.80266064
100,-0.17017643
101,0.9636152
102,0.403638
103,-0.03425947
104,-0.50385225
105,0.012686545
106,-0.55120635
107,-0.1591056
108,-0.15251045
109,-0.6291797
110,-0.17747825
111,0.30620283
112,-0.4847511
113,0.26132026
114,0.06363311
115,0.2977767
116,-0.20539144
117,0.57557654
118,0.10241219
119,0.044135883
120,-0.8840128
121,0.3835054
122,1.140846
123,-0.40526974
124,0.16941032
125,0.1192148
126,0.24735314
127,-0.06337735
128,0.74901056
129,-0.2517557
130,0.72068584
131,-0.46659636
132,0.35597628
133,-0.5880378
134,-0.38592175
135,-0.38488173
136,-0.28327844
137,-0.05605437
138,0.09855664
139,0.069337755
140,-0.42861485
141,0.113150045
142,1.0887184
143,-1.7612286
144,-0.75956595
145,0.33363461
146,-0.671443
147,-0.4256754
148,-0.35542333
149,0.033503786
150,0.40678334
151,-0.07313594
152,-0.2887174
153,0.7500224
154,0.24861541
155,0.25099438
156,0.8831411
157,-0.34770936
158,-0.2490122
159,0.13027737
160,-0.6756816
161,-0.06694218
162,-0.3756277
163,0.4159115
164,0.011033222
165,-0.059242323
166,0.2631644
167,0.8075715
168,0.23744768
169,0.2337618
170,-0.39106873
171,-0.014033586
172,0.04661052
173,-0.64754725
174,-0.6703687
175,0.19060068
176,-0.28594357
177,0.65934134
178,0.17129217
179,-0.71899307
180,-0.062131647
181,0.71276665
182,0.15671702
183,-0.38386774
184,-0.29237768
185,-0.16688506
186,-0.009747714
187,-0.56476265
188,-0.6648563
189,-0.646169
190,-0.6191209
191,-1.2994924
192,-3.7829628
193,-1.9741068
194,-2.7513683
195,0.7426207
196,-3.7729468
197,-2.3842473
198,-2.3612406
199,-2.334969
200,-2.358595
201,-2.368085
202,-2.1581702
203,-2.2449987
204,-2.8360124
205,-3.052286
206,-1.777446
207,-2.3448372
208,-2.7795246
209,-3.7645965
210,-2.7447455
211,-1.7178739
212,-2.375368
213,-2.7371936
214,-2.1421225
215,-2.0174818
216,-2.286005
217,2.505302
218,-1.8917596
219,-2.3463228
220,-1.8742509
221,-3.0086966
222,-3.7816377
223,-2.3510323
224,-1.8353425
225,-1.8646033
226,-2.0616665
227,2.7406936
228,-2.747466
229,-1.8298012
230,-2.7673192
231,-2.323547
232,-2.352652
233,-2.5119824
234,-1.8975053
235,-3.7747424
236,-2.672653
237,2.8742132
238,-3.0616717
239,-2.81282
240,-2.297515
241,-2.4973576
242,-2.1604924
243,-2.4745083
244,-2.3718135
245,-1.9294195
246,-2.0830216
247,-2.647605
248,-2.498232
249,-3.7871938
250,3.2679164
251,-2.7335744
252,-2.5672674
253,-2.1712444
254,-2.118516
255,-2.0993083
256,-1.9932946
257,-2.213312
258,-2.2594066
259,-2.6150675
260,-1.911994
261,-2.1090655
262,-3.7620037
263,3.303475
264,-1.7607913
265,-2.825132
266,-2.804772
267,-1.5443573
268,-2.353251
269,3.007395
270,-2.1330552
271,-2.3642774
272,-2.2260184
273,-2.592467
274,-1.5653608
275,-3.7829628
276,1.9309303
277,-2.339919
278,-2.4044049
279,-1.9098735
280,-2.1814303
281,-2.1415203
282,-2.2018056
283,-1.8160344
284,-2.227972
285,-2.2993326
286,-2.315436
287,-2.2968903
