,0
0,-2.7920387
1,-2.619255
2,-2.1544204
3,-2.7456264
4,-2.0404804
5,-2.2594843
6,-2.6127336
7,-2.753424
8,-2.5763903
9,-1.2881404
10,-2.172797
11,-2.5757434
12,-3.0496185
13,-2.7713757
14,-2.419006
15,-1.5001187
16,-1.9846747
17,-1.8863137
18,-2.2291033
19,-2.110409
20,-2.9045238
21,-2.6690242
22,-1.954559
23,-1.5349156
24,-2.2621431
25,-1.9322498
26,-2.2768402
27,-2.8033192
28,-2.1964023
29,-1.6364071
30,-2.2150135
31,-1.914813
32,-2.3141065
33,-2.6532185
34,-2.1273985
35,-2.837572
36,-0.9917015
37,-2.4074976
38,-2.1840346
39,-2.5780888
40,-2.7722306
41,-1.7828109
42,-2.2099447
43,-2.76163
44,-2.4696088
45,-1.8550467
46,-2.486546
47,-2.2398152
48,-2.8586512
49,-1.8214713
50,-1.8280611
51,-2.773256
52,-2.5825517
53,-2.4624913
54,-2.677543
55,-1.335549
56,-2.3223329
57,-2.6252751
58,-2.282989
59,-2.1148055
60,-2.471014
61,-2.8307526
62,-0.5077326
63,-2.4838135
64,-2.2250035
65,-2.2550225
66,-1.936885
67,-2.0674782
68,-2.3532944
69,-1.4314691
70,-1.933784
71,-0.64866406
72,-1.9947023
73,-0.757118
74,-2.7778177
75,-1.1415712
76,-1.654702
77,-2.0866728
78,-2.5193834
79,-1.4702156
80,-2.544506
81,-2.186658
82,-2.1545649
83,-2.4715328
84,-1.7135892
85,-2.7134986
86,-2.2851143
87,3.5845118
88,-1.6425955
89,0.08465469
90,-1.6865263
91,-2.2092328
92,-2.1917295
93,-1.851872
94,-1.3862011
95,-1.5724907
96,-0.29206887
97,0.19643883
98,0.2351702
99,0.6704736
100,-0.024882942
101,-1.1328602
102,-0.5832298
103,-0.0426753
104,0.13481791
105,-0.25601086
106,0.41249236
107,-0.048529506
108,-0.057817146
109,0.27853987
110,0.03127327
111,-0.46282852
112,0.15994057
113,-0.47728914
114,-0.032249644
115,-0.45515537
116,0.037570108
117,-0.8461347
118,-0.29517666
119,-0.3193155
120,0.7338184
121,-0.50225174
122,-1.1892531
123,0.22805338
124,-0.37434003
125,-0.39863503
126,-0.26305133
127,-0.03945785
128,-0.9663968
129,0.10197525
130,-0.89471537
131,0.4054175
132,-0.58385116
133,0.4584381
134,0.28938687
135,0.25964138
136,0.064105004
137,-0.16652608
138,-0.18202925
139,-0.102706894
140,0.10913663
141,-0.01276347
142,-1.2876382
143,1.5418835
144,0.24630246
145,1.4903028
146,0.42851582
147,0.22212824
148,0.18989405
149,-0.24932338
150,-0.6806868
151,-0.21130285
152,0.17455307
153,-1.0249231
154,-0.48499238
155,-0.45777163
156,-1.065716
157,0.21422045
158,-0.111495346
159,-0.33227086
160,0.41888434
161,-0.045706548
162,0.11082484
163,-0.60117096
164,-0.18782622
165,-0.1288944
166,-0.46182168
167,1.7529043
168,-0.3101253
169,-0.32333538
170,0.30941507
171,-0.06401144
172,-0.13371031
173,0.32015094
174,0.36207262
175,-0.43980074
176,0.108314715
177,-0.823824
178,-0.42873675
179,0.5531788
180,-0.18648036
181,-0.8781568
182,-0.1630381
183,0.28437546
184,0.15536883
185,0.13475037
186,-0.24093664
187,0.3913777
188,0.52759093
189,0.5005872
190,0.37165928
191,1.1086187
192,3.675816
193,1.8497691
194,2.6110768
195,1.96754
196,3.6753364
197,2.0245678
198,2.165255
199,2.1275067
200,2.0952795
201,2.1491687
202,1.9213774
203,1.9278698
204,2.6431365
205,2.9140503
206,1.587611
207,2.1281981
208,2.5647826
209,3.6812358
210,2.6164427
211,1.5800135
212,2.1261475
213,2.4551892
214,2.068993
215,1.8249743
216,2.0407557
217,3.3073885
218,1.7940056
219,2.1163378
220,1.8156456
221,2.8925602
222,3.6765249
223,2.145022
224,1.5661044
225,1.68721
226,1.8166454
227,2.895854
228,2.5392907
229,1.566441
230,2.6014392
231,2.0300329
232,2.1368542
233,2.373374
234,1.739529
235,3.6720636
236,2.4735563
237,-2.6994095
238,2.877829
239,2.4633317
240,2.0558267
241,2.215366
242,1.9872833
243,2.3439302
244,2.331738
245,1.7948976
246,1.8883994
247,2.459184
248,2.2590683
249,3.6782017
250,2.5235257
251,2.6362948
252,2.3368914
253,2.0140944
254,1.8781142
255,1.8581818
256,1.6930753
257,1.9576625
258,2.0295177
259,2.4013581
260,1.7887449
261,1.8383005
262,3.6749985
263,-1.7436366
264,1.5869703
265,2.7468014
266,2.410509
267,1.3952693
268,2.017952
269,-3.130097
270,1.95538
271,2.2917318
272,2.1012306
273,2.3646672
274,1.4825292
275,3.675816
276,-2.129863
277,2.1172674
278,2.2405334
279,1.8462226
280,1.79721
281,2.2402306
282,1.8983788
283,1.6594343
284,1.9592314
285,2.270484
286,2.145778
287,2.32787
